x,y
39.24096184762958,56.630680130562496
90.67203835244152,19.715101089266298
71.14838726280448,31.64499301333695
59.246455053069404,37.44517999339952
19.735063950098038,44.456008045881156
19.732910915380764,70.17614217502694
10.993082722196597,24.418253752447228
83.12590265068943,49.00164886444506
59.46573224196577,55.111545313674696
69.01309288598056,12.44361370643233
7.645796360207626,56.29400001268831
92.38549168554414,22.14016347852379
80.1147464542288,13.897324318098452
24.762401994761785,82.97029524840458
22.038615887675107,84.27905944166261
22.179610712573187,71.99092896898563
32.96595767188287,32.61947381140005
52.64973100438899,16.44666779470385
44.365099403296256,62.28729783739583
31.804368176659587,43.21203188479154
